"","X","x"
"1",1,"A_compressiceps"
"2",2,"A_dewindti"
"3",3,"Cyathopharynx"
"4",4,"C_horei"
"5",5,"Cyprichromissp"
"6",6,"C_longiventralis"
"7",7,"E_cyanostictus"
"8",8,"G_pfefferi"
"9",9,"H_microlepis"
"10",10,"I_loocki"
"11",11,"J_ornatus"
"12",12,"L_attenuatus"
"13",13,"L_callipterus"
"14",14,"L_cunningtoni"
"15",15,"L_dardennii"
"16",16,"L_elongatus"
"17",17,"L_kendalli"
"18",18,"L_labiatus"
"19",19,"L_lemairii"
"20",20,"L_mimicus"
"21",21,"L_profundicola"
"22",22,"L_tanganicanus"
"23",23,"Lates_M"
"24",24,"M_spp"
"25",25,"N_busheri"
"26",26,"N_caudopunctatus"
"27",27,"N_cylindricus"
"28",28,"N_fasciatus"
"29",29,"N_furcifer"
"30",30,"N_mustax"
"31",31,"N_obscurus"
"32",32,"N_petricola"
"33",33,"N_prochilus"
"34",34,"N_pulcher"
"35",35,"N_savoryi"
"36",36,"N_sexfasciatus"
"37",37,"N_tetracanthus"
"38",38,"O_ventralis"
"39",39,"Paracyprichromisspp"
"40",40,"P_curvifrons"
"41",41,"P_famula"
"42",42,"P_fasciolatus"
"43",43,"P_microlepis"
"44",44,"P_polyodon"
"45",45,"P_horii"
"46",46,"P_straeleni"
"47",47,"P_trewavasae"
"48",48,"S_diagramma"
"49",49,"S_multipunctatus"
"50",50,"T_moorii"
"51",51,"T_temporalis"
"52",52,"T_vittatus"
"53",53,"V_moorii"
"54",54,"X_papilio"
"55",55,"X_sima"
"56",56,"X_spilopterus"
"57",57,"X_flavipinnis"
"58",58,"X_boulengeri"
"59",59,"X_sp"
