"","A_compressiceps","A_dewindti","Cyathopharynx","C_horei","Cyprichromissp","Cunningtonia_longiventralis","E_cyanostictus","G_pfefferi","H_microlepis","I_loocki","J_ornatus","L_attenuatus","L_callipterus","L_cunningtoni","L_dardennii","L_elongatus","L_kendalli","L_labiatus","L_lemairii","L_mimicus","L_profundicola","L_tanganicanus","Lates_M","M_spp","N_busheri","N_caudopunctatus","N_cylindricus","N_fasciatus","N_furcifer","N_mustax","N_obscurus","N_petricola","N_prochilus","N_pulcher","N_savoryi","N_sexfasciatus","N_tetracanthus","O_ventralis","Paracyprichromisspp","P_curvifrons","P_famula","P_fasciolatus","P_microlepis","P_polyodon","P_horii","P_straeleni","P_trewavasae","S_diagramma","Synodontis_multipunctatus","T_moorii","T_temporalis","T_vittatus","Variabilichromis_moorii","X_papilio","X_sima","X_spilopterus","Xenotilapia_flavipinnis","Xenotilapia_boulengeri","Xenotilapia_sp"
"1",7,41,7,0,953,0,63,0,59,4,64,0,22,0,48,41,0,0,0,0,0,66,0,110,1,25,0,72,0,0,0,0,1,65,131,0,1,36,134,0,0,30,355,0,0,2,160,79,0,240,0,258,54,1,0,0,0,0,0
"2",10,44,10,10,428,0,60,0,64,6,33,0,34,0,30,48,11,12,0,0,0,22,0,0,0,146,0,80,0,0,0,0,0,71,162,0,0,23,131,0,0,0,82,1,0,0,61,182,0,362,61,333,91,1,0,2,0,0,0
"3",11,196,4,2,404,0,61,4,18,32,70,15,47,0,24,11,0,20,1,0,0,29,0,1,0,65,0,76,0,0,0,0,0,85,137,79,0,28,93,0,0,1,91,0,0,0,46,246,2,42,149,280,206,5,0,4,0,0,0
"4",18,8,16,0,164,0,27,0,0,157,118,25,40,0,17,15,0,274,1,0,0,59,0,0,0,78,89,127,0,0,0,0,0,84,33,65,12,219,113,0,0,0,10,0,0,0,86,64,96,24,0,636,420,0,0,2,0,0,0
"5",6,11,0,0,167,0,24,0,0,50,38,11,38,0,23,7,0,0,81,0,0,37,8,0,0,0,0,179,0,0,0,0,0,91,4,0,0,138,137,0,0,0,20,0,0,0,60,0,83,160,0,373,301,0,0,0,0,0,0
"6",3,13,4,0,218,0,16,0,0,65,22,12,13,0,20,14,0,1,20,17,17,44,3,2,0,0,1,165,0,0,0,0,0,57,6,0,0,199,118,0,0,0,10,0,0,0,31,2,0,216,0,340,373,1,0,0,0,0,0
"7",9,1,4,0,347,26,59,0,0,68,16,3,48,0,17,17,0,0,0,0,0,157,0,8,0,0,1,211,18,0,0,0,1,66,8,0,0,164,323,0,0,0,30,0,0,0,31,0,0,225,0,262,384,0,0,0,0,0,0
"8",9,13,1,0,3,0,127,0,0,19,69,13,5,0,1,32,0,0,0,0,0,81,0,8,0,0,0,167,12,13,18,8,0,40,83,0,0,260,101,0,0,0,1,51,0,0,76,2,0,153,2,306,398,0,0,0,0,0,0
"9",8,158,0,1,377,0,112,2,0,9,92,46,1,3,24,36,0,4,0,0,0,284,1,0,0,0,1,151,0,0,0,14,20,15,89,0,0,183,142,0,0,0,30,48,0,3,29,3,0,133,0,405,339,2,0,3,0,0,0
"10",3,123,17,0,4,0,144,38,0,9,59,17,7,0,10,33,0,1,0,0,0,109,0,3,0,0,0,138,0,0,0,0,0,31,83,0,0,154,75,0,0,1,14,41,0,0,36,1,0,102,4,374,337,3,0,4,0,0,0
"11",5,196,5,2,35,0,112,34,0,10,52,0,20,0,11,26,0,4,1,0,0,90,0,6,0,0,0,126,0,0,0,0,0,40,101,0,1,217,70,0,0,1,9,44,0,1,50,0,0,96,1,368,314,2,0,7,0,1,0
"12",4,112,4,5,5,0,106,40,0,0,32,0,16,0,26,39,0,0,0,0,1,78,0,3,0,0,0,124,0,0,0,0,0,49,69,0,0,230,145,30,0,0,2,50,0,0,55,0,0,138,0,311,350,0,0,0,0,1,0
"13",4,62,2,0,2,0,79,40,0,0,57,0,15,0,24,29,0,0,0,0,0,115,0,4,0,0,0,88,0,0,0,0,0,32,54,0,0,218,80,5,44,9,1,15,5,19,28,0,0,71,0,277,232,0,0,0,0,0,0
"14",4,13,11,0,51,0,87,83,0,0,44,0,48,0,24,30,0,0,0,0,0,103,0,5,0,0,0,99,0,0,0,0,0,32,60,0,0,309,85,0,0,131,63,0,0,51,39,0,0,103,0,283,262,0,0,0,0,0,0
"15",5,0,0,0,119,0,9,0,0,0,3,2,36,0,0,15,0,0,4,0,3,4,0,0,0,14,6,110,1,0,1,0,1,33,55,0,0,0,76,0,0,0,139,0,0,2,0,0,6,0,6,178,304,160,12,811,0,0,0
"16",7,2,0,0,26,0,65,2,7,8,21,1,25,0,8,7,0,0,4,0,4,31,0,13,0,0,6,119,4,1,0,0,1,30,53,4,0,21,620,0,0,0,110,0,0,3,3,0,7,6,6,323,254,1,0,6,6,0,0
"17",9,48,0,1,0,0,125,3,5,34,84,2,21,0,22,64,1,14,3,0,0,16,0,7,0,12,6,144,4,0,0,0,3,31,42,0,1,254,52,0,0,0,79,11,0,2,34,8,5,103,13,344,237,5,0,35,1,0,0
"18",0,144,6,2,48,0,6,16,32,129,0,0,0,0,40,0,0,36,1,0,0,1,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,228,0,0,8,8,2,25,0,0,87,57,0,373,2,9,66,23,0,85,0,6,2
"19",5,120,3,0,1,0,60,24,0,114,33,2,14,0,12,18,0,13,4,0,0,85,0,8,0,3,4,222,0,1,1,1,0,49,43,1,1,79,41,0,1,4,107,16,0,5,28,51,3,172,15,364,426,16,0,80,0,0,0
"20",8,7,16,1,91,2,17,14,5,74,24,2,12,0,9,11,0,19,5,0,3,54,0,11,0,77,4,158,3,0,1,1,0,68,53,4,1,158,61,1,4,1,104,11,0,2,48,23,9,180,14,365,399,3,0,18,0,0,0
