cause,effect,foodhabit,ratio
Per. mic,Lam. tan,Scale_feeder,0.05
Per. mic,Oph. ven,Scale_feeder,0.05
Per. str,Tro. moo,Scale_feeder,0.05
Per. str,Cya. fur,Scale_feeder,0.05
Per. mic,Tro. moo,Scale_feeder,0.05
Lam. lem,Lim. dar,Fish_feeder,0.05
Lam. lem,Tel. tem,Fish_feeder,0.05
Neo. fas,Tel. tem,Shrimp_feeder,0.05
Neo. fas,Tro. moo,Shrimp_feeder,0.05
Lep. pro,Lep. elo,Fish_feeder,0.05
Lep. pro,Xen. sim,Fish_feeder,0.05
Lep. pro,Tel. tem,Fish_feeder,0.05
Lep. elo,Tel. tem,Fish_feeder,0.05
Lam. lem,Neo. sav,Fish_feeder,0.05
Per. mic,Lam. lem,Scale_feeder,0.01
Per. str,Lam. lem,Scale_feeder,0.01
Per. mic,Neo. fas,Scale_feeder,0.01
Per. mic,Lep. elo,Scale_feeder,0.01
Per. str,Lep. elo,Scale_feeder,0.01
Per. mic,Lam. cal,Scale_feeder,0.01
Per. str,Lam. cal,Scale_feeder,0.01
Per. mic,Gna. pfe,Scale_feeder,0.01
Per. mic,Lob. lab,Scale_feeder,0.01
Per. str,Lob. lab,Scale_feeder,0.01
Per. str,Lam. tan,Scale_feeder,0.01
Per. mic,Tel. tem,Scale_feeder,0.01
Per. str,Tel. tem,Scale_feeder,0.01
Per. mic,Sim. dia,Scale_feeder,0.01
Per. mic,Pet. fas,Scale_feeder,0.01
Per. str,Pet. fas,Scale_feeder,0.01
Per. mic,Pet. fam,Scale_feeder,0.01
Per. str,Pet. fam,Scale_feeder,0.01
Per. mic,Pet. tre,Scale_feeder,0.01
Per. str,Pet. tre,Scale_feeder,0.01
Per. mic,Pet. pol,Scale_feeder,0.01
Per. str,Pet. pol,Scale_feeder,0.01
Per. str,Xen. sim,Scale_feeder,0.01
Per. str,Neo. sav,Scale_feeder,0.01
